epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,80.9381,2.00289,3.42714,2.23192,2.07431,0.54946,0.45455,0.40135,0.13759,0.50831,0.40909,0.34471,0.11766,1.90699,3.18982,2.22384,2.3806,0.0014258,0.0014258,0.0014258
31,83.5775,1.97168,3.43098,2.22017,1.98577,0.40672,0.31818,0.31921,0.13043,0.29418,0.54545,0.29741,0.14104,1.85996,3.00298,2.45912,2.2643,0.001406,0.001406,0.001406
32,86.2116,2.02371,3.52129,2.18869,2.00471,0.48891,0.34852,0.3201,0.13175,0.3807,0.40909,0.31125,0.11637,1.86163,3.05372,2.2715,2.27428,0.0013862,0.0013862,0.0013862
33,88.7605,1.97326,3.38133,2.17018,2.00152,0.47979,0.36364,0.35322,0.17747,0.47979,0.36364,0.3089,0.13731,1.86929,3.14002,2.20709,2.28619,0.0013664,0.0013664,0.0013664
34,91.3855,1.99,3.4352,2.09515,1.98166,0.43337,0.36364,0.36396,0.17786,0.43337,0.36364,0.34049,0.15204,1.87118,3.04404,2.0342,2.24642,0.0013466,0.0013466,0.0013466
35,94.0113,1.99368,3.35452,2.01496,1.98971,0.35095,0.36886,0.33659,0.1252,0.54479,0.40909,0.34057,0.11637,2.10845,3.24118,2.31147,2.48314,0.0013268,0.0013268,0.0013268
36,96.624,1.94149,3.41831,2.01046,1.92337,0.55471,0.39694,0.42301,0.16963,0.35805,0.43141,0.34405,0.14888,1.91769,2.93378,1.91063,2.34497,0.001307,0.001307,0.001307
37,99.4205,1.94751,3.48193,2.17031,2.07387,0.54369,0.31818,0.38296,0.16955,0.4246,0.40909,0.32643,0.13658,1.82739,3.2168,2.35215,2.29918,0.0012872,0.0012872,0.0012872
38,102.025,1.88703,3.51973,1.95139,1.89915,0.52605,0.36364,0.35119,0.16156,0.60107,0.40909,0.36924,0.15667,2.02249,2.98018,1.95723,2.4159,0.0012674,0.0012674,0.0012674
39,104.526,1.94976,3.3763,1.93875,1.95938,0.53345,0.31818,0.3416,0.18661,0.69594,0.36364,0.38315,0.16481,1.71025,2.89027,2.1962,2.15766,0.0012476,0.0012476,0.0012476
40,107.188,1.89185,3.33685,2.04759,1.98878,0.51718,0.36364,0.41181,0.16022,0.38713,0.31818,0.29503,0.11346,1.71464,3.0223,2.03088,2.1662,0.0012278,0.0012278,0.0012278
41,109.796,1.96297,3.31378,2.14008,1.99494,0.40548,0.40909,0.36656,0.18727,0.5073,0.36364,0.40884,0.17501,1.67632,2.9427,2.1627,2.14166,0.001208,0.001208,0.001208
42,112.509,1.92525,3.27924,2.04629,1.99999,0.50753,0.46892,0.41283,0.13734,0.50753,0.46892,0.38541,0.11399,1.83173,3.1901,2.41714,2.25472,0.0011882,0.0011882,0.0011882
43,115.107,1.95654,3.2086,2.12762,1.98007,0.61494,0.40909,0.47286,0.1872,0.61494,0.40909,0.4505,0.18591,1.82624,2.98293,2.27331,2.21291,0.0011684,0.0011684,0.0011684
44,117.76,1.95581,3.4658,2.09682,1.95903,0.43732,0.40909,0.39382,0.20036,0.59253,0.36364,0.41053,0.17276,1.90596,2.84323,1.99345,2.30143,0.0011486,0.0011486,0.0011486
45,120.629,1.92544,3.41914,2.13221,2.00675,0.45995,0.5,0.36589,0.14788,0.51365,0.54545,0.42414,0.14263,2.06196,2.73874,2.13371,2.44462,0.0011288,0.0011288,0.0011288
46,123.305,1.95204,3.24018,1.97069,1.95783,0.43736,0.45455,0.40237,0.18211,0.51976,0.5,0.41095,0.15354,1.86393,2.90253,1.99219,2.27165,0.001109,0.001109,0.001109
47,125.931,1.8627,3.27957,1.87928,1.8937,0.4087,0.54545,0.42775,0.20347,0.43142,0.54545,0.47199,0.18777,1.88627,2.91195,1.92863,2.24525,0.0010892,0.0010892,0.0010892
48,128.566,1.83004,3.14326,1.84477,1.88219,0.56417,0.36364,0.36171,0.18,0.64145,0.40909,0.39825,0.15443,1.77127,2.84086,2.05056,2.16929,0.0010694,0.0010694,0.0010694
49,131.181,1.88482,3.32465,1.99672,1.91539,0.41695,0.5528,0.36928,0.18929,0.46615,0.59091,0.39968,0.16243,1.7801,2.74914,1.98826,2.19232,0.0010496,0.0010496,0.0010496
50,133.719,1.81872,3.21954,1.82161,1.88248,0.67705,0.45455,0.48939,0.19083,0.67705,0.45455,0.40606,0.16606,1.81864,2.80101,1.9654,2.20958,0.0010298,0.0010298,0.0010298
51,136.324,1.83851,3.38175,1.89848,1.93178,0.49524,0.45455,0.40628,0.21833,0.53816,0.5,0.43834,0.16353,1.75316,2.87495,1.85955,2.2519,0.00101,0.00101,0.00101
52,139.118,1.82344,3.11191,1.75929,1.85783,0.49619,0.5,0.49483,0.21579,0.51589,0.5,0.42483,0.18037,1.654,2.79552,1.83826,2.11978,0.0009902,0.0009902,0.0009902
53,141.748,1.87025,3.15202,1.85895,1.99224,0.38109,0.63636,0.39183,0.14192,0.38109,0.63636,0.35291,0.13969,1.70943,2.80765,2.22038,2.0926,0.0009704,0.0009704,0.0009704
54,144.339,1.8951,3.25894,1.93831,1.8926,0.50325,0.45455,0.43344,0.24308,0.50325,0.45455,0.37041,0.17718,1.59193,2.80144,1.76033,2.00041,0.0009506,0.0009506,0.0009506
55,147.041,1.76635,3.14814,1.76855,1.83274,0.46473,0.59091,0.36838,0.16452,0.50322,0.63636,0.39786,0.14442,1.636,2.87521,2.32902,2.10519,0.0009308,0.0009308,0.0009308
56,149.783,1.83335,3.1973,1.86844,1.89367,0.53452,0.62666,0.44806,0.23187,0.53452,0.62666,0.41814,0.19783,1.54885,2.7812,1.86577,2.00971,0.000911,0.000911,0.000911
57,152.425,1.81151,3.32129,1.8373,1.88214,0.50451,0.59091,0.41985,0.20778,0.53456,0.63636,0.37679,0.17619,1.63969,2.83077,1.81497,2.04051,0.0008912,0.0008912,0.0008912
58,155.066,1.91422,3.26169,1.94656,1.90199,0.50461,0.55593,0.50982,0.19675,0.4962,0.59091,0.42632,0.2142,1.75414,2.67042,1.92451,2.15646,0.0008714,0.0008714,0.0008714
